temperatura_real,temperatura_predicha
20.0,20.00166409289111
20.0,19.959801625243358
19.0,18.981215775618008
18.0,18.004774753214225
17.0,16.987023268852653
16.0,16.000712724772765
15.0,15.004888972132717
14.0,13.990131594829776
12.0,11.956929939266042
11.0,10.964809973339657
10.0,10.004332669957938
7.0,6.711835154377995
6.0,6.0009820989869285
7.0,6.952919341638733
6.0,6.156551591916097
5.0,4.995511688190579
7.0,7.478483699479952
9.0,8.981722398232053
11.0,11.001166876790984
15.0,14.913375609560957
16.0,16.0134435767689
18.0,17.990065231113988
20.0,20.06684617423604
21.0,21.023292562699453
20.0,20.038752431053293
20.0,20.003258823719353
19.0,18.981402028020774
19.0,18.978828030663756
18.0,18.005037089204293
15.0,15.023586084102169
14.0,13.992042450312908
12.0,11.956929939266042
11.0,10.964809973339657
9.0,8.978700512791564
8.0,7.9563735741199775
6.0,5.669781102996881
5.0,4.948615136205832
5.0,4.918897324664631
5.0,4.987107619958198
5.0,5.0334391460537455
6.0,5.904395684969013
7.0,7.131410175060626
9.0,8.955525391257282
10.0,9.96820681875017
12.0,12.0081534536811
15.0,14.970866406478631
19.0,19.00890959271016
20.0,20.002629254895634
20.0,19.961032912634963
19.0,18.981786321951525
18.0,18.004961766570787
18.0,17.99894225854533
17.0,16.990842542242213
15.0,14.999138002107593
15.0,14.968419449605442
14.0,13.989598846040888
12.0,11.95711880329104
10.0,10.029100924847802
9.0,9.001313861866809
9.0,9.01633635487825
6.0,5.9690967993277395
7.0,7.053610372674202
5.0,5.187128936260615
5.0,4.885490603696045
7.0,7.471403846464914
8.0,7.962788882055577
10.0,10.045709292259165
14.0,13.928995012352845
17.0,17.01240405837663
20.0,20.011463670887515
21.0,21.02338659064392
21.0,21.003394937946467
22.0,22.054349775796464
21.0,21.027312106698204
21.0,21.035599281843353
19.0,18.9589345765656
17.0,16.986868255143552
16.0,16.000712724772765
15.0,15.004888972132717
14.0,13.990440464137112
13.0,13.006355016328024
13.0,13.00958615327071
10.0,10.039340722392334
8.0,8.008751558352948
7.0,6.819177810844002
6.0,6.1121477441086345
7.0,6.996566260681332
5.0,5.2973755108819836
7.0,7.326138570946323
9.0,8.982789633605572
12.0,11.980045980304412
14.0,13.994580476572398
17.0,17.012814110409902
19.0,18.9940727148383
21.0,21.063890755597384
21.0,20.995502914514102
22.0,22.054349775796464
22.0,21.998220736980663
21.0,21.01701241447439
21.0,21.036471394308883
18.0,18.018895377411074
16.0,16.012825045083964
15.0,15.004888972132717
13.0,13.022163161072331
12.0,12.018900125864697
11.0,10.963476362474086
9.0,8.978700512791564
8.0,7.9563735741199775
7.0,6.920960295186989
6.0,6.111978138415941
6.0,6.070086720698599
5.0,4.997142028213891
6.0,5.7950739937512585
8.0,7.762092269805983
11.0,11.056353542969847
13.0,12.949706848474271
15.0,15.02207114029069
19.0,19.01133232676983
21.0,21.063764880642363
22.0,22.054122892060636
22.0,21.997799361428545
22.0,21.985458022538396
21.0,21.01701241447439
21.0,21.038349137446655
17.0,17.044708974924212
17.0,17.011846918507008
15.0,14.999138002107593
14.0,13.991384894265174
12.0,11.957238808573377
10.0,10.029100924847802
8.0,8.000158838090332
7.0,6.819177810844002
6.0,6.1121477441086345
7.0,6.995463511180657
6.0,6.1546594061965445
6.0,6.123116839538961
8.0,7.823802997354629
9.0,8.95117479068851
12.0,11.978499618486843
15.0,14.972360870054437
18.0,18.003122703152723
21.0,21.124802482190383
23.0,23.040247947527554
22.0,22.118196828032534
22.0,22.024752314962193
20.0,19.98156352736995
20.0,20.00082459665894
18.0,17.982520179629592
16.0,16.012632531077
15.0,15.004487741860874
14.0,13.99003923386527
13.0,13.006262655363518
12.0,12.009939611643624
11.0,10.963476362474086
11.0,11.01477937270591
10.0,10.007845609709745
10.0,10.011157384465594
10.0,10.010772515251237
10.0,10.009604939839582
10.0,10.009548806868173
11.0,11.00517001520844
11.0,11.024800105277398
14.0,14.034395805170803
17.0,17.01217825769951
19.0,18.992796143194738
20.0,19.99807463134498
21.0,21.024088296938245
21.0,21.003131214357833
20.0,19.998824526600362
20.0,20.000356828142927
19.0,18.98254827865621
19.0,18.978353952828535
17.0,16.97761402772269
17.0,17.007001198513336
16.0,16.003121103783755
14.0,14.008551332398257
14.0,13.99721277394492
13.0,13.00412550997051
12.0,12.009939611643624
11.0,10.963476362474086
9.0,8.978700512791564
9.0,9.019100939170798
9.0,9.022111106546978
9.0,9.025757766658476
10.0,9.979460540190797
9.0,8.997628555846306
10.0,9.949736545624672
14.0,13.927448650535275
17.0,17.011456576351573
19.0,18.985889787349148
21.0,21.0636107086208
20.0,19.889562825721967
20.0,20.0018849829292
21.0,21.024509672490364
20.0,20.037002333025672
19.0,18.979585676579756
19.0,18.979177269279468
17.0,16.977421513715726
16.0,16.000311494500924
15.0,15.004487741860874
15.0,15.00607922112858
13.0,13.021661777758032
12.0,12.018591256557361
11.0,10.963476362474086
11.0,11.012545788768044
10.0,10.007845609709745
10.0,10.012742363537138
10.0,10.010716382279828
13.0,12.926671603888657
13.0,12.929065373231118
14.0,14.045671192451886
15.0,14.94732185312437
16.0,16.0125146684176
17.0,16.991681665301854
16.0,16.005479172878836
15.0,15.006521123912577
15.0,15.008421472487619
15.0,15.006998932342835
13.0,13.021360056261202
13.0,13.00872124348935
13.0,13.016072293103043
12.0,12.009706421360981
12.0,12.009777062774347
12.0,12.007693744825774
12.0,12.007474600813339
13.0,12.98071314990438
12.0,12.023335934340475
12.0,12.009430392718047
10.5,10.299952075223821
12.0,11.819853043557083
12.0,11.997648534353774
12.0,12.006034638525442
13.0,12.994696563740133
12.0,12.024001589969611
13.0,12.974173811379254
14.0,14.045671192451886
15.0,14.94732185312437
15.0,14.94806570364875
15.0,15.004295275054133
15.0,15.004295275054133
15.0,15.004447304919873
15.0,15.004206459218908
15.0,15.004716650606253
13.0,13.018120051659643
13.0,13.010653440915926
12.0,12.015884582434587
12.0,12.013713614687685
11.0,10.96217385584474
10.0,10.004332669957938
9.0,9.00829151054279
8.0,7.948530459927529
7.0,6.976357318749878
5.0,5.036697840389756
4.0,4.088930921313476
3.0,2.7538869582912913
3.0,2.6115077959410997
3.0,3.0847858364872294
7.0,6.688073136549
9.0,9.046456033776337
13.0,13.111215046285905
15.0,15.019564456496267
17.0,17.028316389150355
19.0,18.989016015838608
